text@vs1984f	@vs1984f	9.655	10.48	Привет  //
text@vs1984f	@vs1984f	15.19	15.94	Ммм  //
text@vs1984f	@vs1984f	15.94	17.7	Я играю на клавишах  //
text@vs1984f	@vs1984f	17.96	23.44	И несколько лет подряд играла на клавишах в группе Блуждающие огни/  ну/ если ты/ конечно/ не заметила  //
text@vs1984f	@vs1984f	26.43	26.86	Ну да//
text@vs1984f	@vs1984f	26.86	32.39	Я понимаю/ конечно/ за барабанной установкой там может быть что-то не видно// и спины какие-то впереди на сцене стоят // 
text@vs1984f	@vs1984f	32.39	33.17	Ну так вот  //
text@vs1984f	@vs1984f	33.172	37.61	Рассказываю/ страшная тайна/ одна из этих спин / была моя все эти годы  //
text@vs1984f	@vs1984f	45.39	53.67	Ну кроме этого я ещё иногда помогала петь бы... петь бэк-вокал в некоторых песнях//  а помимо этого/ я ещё пела в хоре  //
text@vs1984f	@vs1984f	53.67	55.02	Даже не в одном  //
text@vs1984f	@vs1984f	55.63	56.1	Да  //
text@vs1984f	@vs1984f	59.94	67.21	Первый хор/ это было// когда я только начала заниматься музыкой/ начала играть на фортепьяно/ мне было лет шестнадцать/ наверное  //
text@vs1984f	@vs1984f	67.46	73.07	Это был молодёжный женский камерный хор/ нас было там  немного/ человек/ наверное/ восемнадцать  //
text@vs1984f	@vs1984f	73.85	86.13	Ну для хора это на самом деле немного/ потому что щас в хор/ в который  я буду/ эээ/  о котором я буду говорить следующим/ там человек восемьдесят/ наверное/ всего было/ когда все ходили на репетиции/ конечно  //
text@vs1984f	@vs1984f	86.13	88.14	Вот тогда там было человек восемьдесят  //
text@vs1984f	@vs1984f	88.58	89.5	Ну так вот //
text@vs1984f	@vs1984f	90.075	94.74	В первом хоре/ эээ мы эээ/ ездили на гастроли даже  //
text@vs1984f	@vs1984f	94.755	105.31	Это было в Чехии/ мы принимали участие в международном фестивале/ и получили диплом как лучший международый хор/ ну потому что международных хоров там было всего мы/ по-моему/ и ещё один  //
text@vs1984f	@vs1984f	107.9	109.758	И получить международный диплом  //
text@vs1984f	@vs1984f	111.205	115.49	Поездка была/ конечно/ кстати/ очень весёлая// много воспоминаний осталось // 
text@vs1984f	@vs1984f	116.23	123.66	Вот/ а второй хор это было / уже в / бытность мою клавишником Ignis Fatuus / тогда ещё  //
